NOTES FOR MIGRATION TEAM,Name,Description,Region,Type,City,Partners,Image 1,Image 2,Image 3,Image 4,Image 5,Library,Shop,Restaurant,Additional Restaurants ,Bar,Gym,Spa,Jacuzzi,Pool,Sauna ,Steam Room,Massage,Elevator,Laundry,Room Service,Meals Available,Food & Drink Description,WiFi,Phone Signal,Capacity,Year Built,Minimum Age,Check in Time,Check Out Time,Inspected by 1,Date 1,Inspection Notes 1,Inspected by 2,Date 2,Inspection Notes 2,Inspected by 3,Date 3,Inspection Notes 3,What we like about this hotel,We think its worth noting,Recommendations,Swooper,What they say about this accommodation,Video URL,FAQs,"Location
(Ground Accommodation only)",Breakfast End Time,"Check in Time
(with ranges)","Check Out Time
(with ranges)"
,Aguas Arriba,"A lakeside lodge deep in the heart of Patagonia with views of mount Fitz Roy, overlooking a hanging glacier and only accessible by boat, or a day hike. Aguas Arriba is a wonderful base for off the beaten track hiking, fishing or simply relaxing. The hosts are friendly and with just six rooms it has a cosy atmosphere. Our number one recommendation in the El Chaltén/Fitz Roy area.",Los Glaciares,Luxury Lodge,El Chalten,Walk Patagonia,https://imgix.swoop-patagonia.com/Unknown_RTD_Autumn_Colours-Aguas-Arriba.jpg,https://imgix.swoop-patagonia.com/AguasArriba_5_AguasArriba_RTD_Front-Fitz-Roy-new.jpeg,https://imgix.swoop-patagonia.com/SWO_4_Danny_ALL_aguas-arriba-communal.jpeg,https://imgix.swoop-patagonia.com/SWO_4_Danny_ALL_aguas-arriba-no.jpg,https://imgix.swoop-patagonia.com/SWO_4_Danny_ALL_aguas-arriba-yoga.jpeg,FALSE,FALSE,TRUE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,Included,FALSE,"Breakfast, Lunch, Dinner, Snacks",,TRUE,FALSE,10,,,15:00:00,10:00:00,Harriet,2025-03-01,,Marcela,2025-03-01,,Danny,2022-03-01,,"<ul><li>The lodge is the only place to stay on this enchanting lake. Accessible by boat or a three-hour hike, there is hardly a soul on the surrounding trails.</li><li>Remote with an edge-of-the-earth feeling... yet accessible.&nbsp;</li><li>Its all-inclusive programme includes boat trips and hikes up to hanging glaciers with friendly, knowledgeable guides.</li><li>The food is superb - prepare for both quality and quantity!</li><li>With as many staff as guests, you are looked after every step of the way and feel completely at home.</li><li>3 nights here pairs well with 2 or 3 days in the trekker paradise of El Chaltén plus time in El Calafate and a visit to Perito Moreno Glacier.</li></ul>",<ul><li>This is a very secluded location and not everyone is comfortable being as off-grid as this.&nbsp;</li><li>It doesn't replace the famous hikes from El Chaltén but is a lovely (more relaxing) addition to them.&nbsp;</li></ul>,,Zoe Winterbotham,"This has to be one of the most relaxing places I've ever stayed. The setting is sensational, it's as if you have the lake entirely to yourself. You are so well looked after by the staff who are incredibly friendly while providing a first-class service. Having no WiFi and phone signal is total bliss...",https://www.youtube.com/watch?v=jfVFQi0Wk9A,,,,15:00,10:00
,Albatros,"The original 4-star hotel in Ushuaia, now slightly dated, the Albatros has the most central location in town, directly in front of the main Ushuaia Port making it convenient for embarking on cruises or exploring the waterfront area. Standard rooms have a stylish feel with wooden or modern furniture, small but comfortable. A decent buffet breakfast is served daily and the restaurant offers a wide variety of international dishes.",Tierra del Fuego,Standard Hotel,Ushuaia,Tierra Turismo,https://imgix.swoop-patagonia.com/SWO_3_RTD_Albatros-hotel.png,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Alma del Lago,"This hotel offers high-end quality while being based in the centre of town. There's a lovely indoor pool with large glass windows that offer views of the lake. It is one of the three hotels in Bariloche that offers room service. Guests can choose between dining at an upscale restaurant or enjoying more affordable meals at a bistro. The hotel's modern architecture includes plenty of glass, following local regulations that require lakefront properties to maintain visual appeal for the public.",Arg Lakes,Premium Hotel,Bariloche ,AndesTrack,https://imgix.swoop-patagonia.com/SWO_3_Alma-del-Lago-bariloche.JPG,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Altiplánico,"This upmarket four-storey hotel in the centre of the city is an excellent choice. It's right in the heart of the main tourist attractions so there's no need to use the metro. The hotel has 24 rooms, including six suites, spread over four floors. All rooms are very well appointed in a modern and uncluttered style. There are also two delightful interior patios where you can enjoy a relaxing drink, away from the bustle of the city. All the services you would expect of an upmarket hotel are on offer, including a 24hr reception and an honesty bar.",Santiago,Premium Hotel,Santiago,Southbound,https://imgix.swoop-patagonia.com/ALTI_5_ALTI_RTD_Altiplanico-bedroom.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Altiplánico Atacama,"On the edge of town (a 10-min gentle stroll from the centre), the family-owned Altiplanico provides a sense of comfort in what is otherwise a rather rough landscape. The interior is filled with calm, birdsong and a spacious, beautifully manicured desert garden. All rooms have a terrace and feature outdoor showers - excellent for star-gazing! The hotel doesn't arrange tours and although you book on a B&B basis, there is a simple lunch and evening menu.",Atacama,Standard Hotel,San Pedro de Atacama,Southbound,https://imgix.swoop-patagonia.com/SWO_4_PETER_ALL_Altiplanico-Hotel-Atacama.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Alto Andino,"This is a modern hotel just two blocks from San Martin, the main street in Ushuaia. The breakfast room is up on the top floor and has clear views out across the water; as do some of the bedrooms on the higher floors. There are also a couple of apartments if you prefer the independence of cooking for yourself from time to time. Staff are very friendly and the hotel is light, airy and spacious.",Tierra del Fuego,Premium Hotel,Ushuaia,Tierra Turismo,https://imgix.swoop-patagonia.com/Alto_Andino.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Amonite,"This hotel is well located in the heart of the heart of San Martín, just two blocks from the lake's beach and entrance of the town. It's a family-run Apart-hotel that feels like a small ski lodge and is great for semi-independent travellers and families looking to cook some basic meals. There's an indoor and outdoor pool, a small sauna, plus an outdoor quincho for sitting around and taking your own meals. Each room has a kitchenette with basic to complex kitchen amenities. The hotel does not have dining options, and a basic breakfast is delivered to your room each morning. The friendly staff speak some English and are very helpful. The hotel has a lift.",Arg Lakes,Boutique Hotel,San Martín de los Andes,AndesTrack,https://imgix.swoop-patagonia.com/SWO_3_RTD_Amonite-bariloche.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Arakur,"The resort is nestled in the mountains above Ushuaia and offers extraordinary views over the Beagle Channel (particularly from the spa). They have a private nature reserve offering at least half a day of wonderful hiking and exploration either with or without a guide. You’ll be 20 minutes from town by shuttle bus or taxi. Comfortable beds, friendly English-speaking staff and striking architecture stand out features here. And if you want to get a feel for the wilderness of Tierra del Fuego rather than the urban life of Ushuaia and have the budget, then this is the best option.",Tierra del Fuego,Premium Hotel,Ushuaia,Tierra Turismo,https://imgix.swoop-patagonia.com/HT_5_HT_ALL_Arakur.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Awasi Atacama,"Awasi offer 'tailor-made' journeys, rather than 'all-inclusive' programs. They offer a 4x4 vehicle and personal guide for each room who will meet you at the airport and help you to plan the whole of your stay at Awasi. The walled environment creates an intimate oasis of calm with fire pits, sun shades and plenty of trees. The restaurant here is particularly well-regarded.",Atacama,Luxury Lodge,San Pedro de Atacama,Awasi,https://imgix.swoop-patagonia.com/awasi_atacama.jpg,,,,,TRUE,TRUE,TRUE,FALSE,TRUE,No,No,No,Included,No,No,Included,FALSE,Included,TRUE,"Breakfast, Lunch, Dinner",,TRUE,FALSE,24,,,16:00:00,12:00:00,,,,,,,,,,,,,Danny Middleton,"Nothing is too much to ask for. When I stayed there, a musician asked at 10pm for Awasi to find him a guitar to entertain his friends. Instead of saying, ‘No, that isn’t possible at this time of evening’, they asked him if he preferred an electric or acoustic one.",,,,,16:00,12:00
,Awasi,"Awasi takes seclusion to another level. Set in its own private reserve just outside the national park, it offers breathtaking views of the Paine Massif, Lake Sarmiento and the pampa. There are 14 villa cabins, surrounded trees for privacy. Their design is taken from traditional Patagonian shelters, with a modern luxury finish. Each has its own private terrace and hot tub. All guests have their own guide and 4x4 vehicle for exploring at their own pace. After a day's adventure, guests can relax with a gourmet meal at Awasi’s Relais & Chåteaux restaurant, inspired by seasonal native flavours from the lodge’s kitchen garden. Awasi Patagonia: Essential information: Located in a private reserve near the eastern edge of Torres del Paine National Park - Individual secluded cabins offer an air of real exclusivity - Each cabin comes with its own private guide and vehicle, allowing guests to create their own itinerary - A Relais & Châteaux property, with a restaurant serving superb cuisine and wine",Torres del Paine,Luxury Lodge,Torres del Paine,Awasi,https://imgix.swoop-patagonia.com/AwasiPatagonia_4_RTD_Fernando-Alda-exterior.jpg,https://imgix.swoop-patagonia.com/AwasiPatagonia_4_RTD_LUCIANO-BACCHI.jpg,https://imgix.swoop-patagonia.com/AwasiPatagonia_4_RTD_exterior-Luciano-Bacchi.jpg,https://imgix.swoop-patagonia.com/AwasiPatagonia_4_RTD_Fernando-Alda-exterior2.jpg,https://imgix.swoop-patagonia.com/AwasiPatagonia_4_RTD_guanacos.jpg,TRUE,TRUE,TRUE,FALSE,TRUE,No,No,No,No,No,No,Included,FALSE,Included,TRUE,"Breakfast, Lunch, Dinner, Snacks",,TRUE,FALSE,44,,10,16:00:00,12:00:00,Sydney,2024-11-01,,Iain,2024-11-01,,Agustin,2024-04-01,,"<ul><li>You have your own private guide and 4x4 vehicle, so you can explore at your own pace, following off-the-beaten-track hiking trails.</li><li>The native fauna remains intact, and herds of guanacos, ñandus, foxes, condors and pumas can be spotted.</li><li>Soak in your hot tub, have a drink by the fire and enjoy long evening meals in the Relais &amp; Chateaux restaurant.</li><li>The stunning, secluded setting gives the hotel an exclusive feel, with more than enough space to roam or relax.</li><li>Each villa is individually designed with a stunning view across to the iconic towers, Lake Sarmiento or the Patagonian steppe.</li></ul>","<ul><li>All the villas have privacy and are in their own space which we love, but means you need to walk a fair distance or get a lift if you don't want to be exposed to the elements on your way to dinner.&nbsp;</li><li>It is a 40-minute drive from Awasi to the edge of the National Park and if you take the Grey Glacier excursion then you will be travel for 3 hours. There are better-located lodges for those keen to hike the W Trek.&nbsp;</li></ul>",,Luke Errington,The thing that appeals most about Awasi Patagonia is the freedom to explore Torres del Paine with your own guide and vehicle.,,,,,16:00,12:00
