Partner,Type,Destination,Hotel/Vessel,Room/Cabin name,Room/Cabin description (with html),Room/Cabin Description,Image,Size,Bed Configurations,Bathroom Type,Bath,Balcony,Log Burner/Fireplace,Ability to add an extra bed,Tea/Coffee Making Facilities,Fridge/Mini Bar,Private Jacuzzi/Hot Tub,WiFi in Room,TV,Sound System,Private Lounge Area,Private Dining Area,Room/Cabin Description,Hairdryer,Do they use renewable energy? ,Aircon
Australis,Cabin ,Patagonia,Stella Australis,AAA Superior,"<ul><li>Two wonderfully spacious and airy cabins, measuring 20.5m&sup2;/220ft&sup2;&nbsp;in size, with ample room for storage and relaxation</li><li>Well positioned for access to&nbsp;the Sky Lounge and Darwin Lounge</li><li>The best view on board, due to their height on the ship, and the huge floor-to-ceiling picture&nbsp;window</li><li>Large king sized beds measuring 1.8m x 1.98m</li></ul>↵","Two wonderfully spacious and airy cabins, measuring 20.5m²/220ft² in size, with ample room for storage and relaxationWell positioned for access to the Sky Lounge and Darwin LoungeThe best view on board, due to their height on the ship, and the huge floor-to-ceiling picture windowLarge king sized beds measuring 1.8m x 1.98m↵",https://imgix.swoop-patagonia.com/AUS_5_AUS_RTD_AAA-Superior-cabin-Stella-Australis-2019.jpg,20.5m2,Double,En‑suite WC + shower + sink,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Stella Australis,AAA,"<ul><li>23 spacious cabins measuring 16.5m&sup2;/178ft&sup2;</li><li>Located on the Cabo de Hornos Deck next to the Sky Lounge and Bridge</li><li>These cabins offer the best view on board, with windows measuring 1.58m x 1.80m  </li><li>Standard-size twin (1.05m x 1.90m) or double beds&nbsp;(1.60m x 1.90m).</li></ul>↵","23 spacious cabins measuring 16.5m²/178ft²Located on the Cabo de Hornos Deck next to the Sky Lounge and BridgeThese cabins offer the best view on board, with windows measuring 1.58m x 1.80m  Standard-size twin (1.05m x 1.90m) or double beds (1.60m x 1.90m).↵",https://imgix.swoop-patagonia.com/CRUC_2_CRUC_RTD_AAAMATRIMONIAL.jpg,16.5m2,"Double, Twin",En‑suite WC + shower + sink,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Stella Australis,AA Superior,"<ul><li>Two luxuriously spacious, AA Superior cabins measuring 20.5m&sup2;/220ft&sup2;</li><li>Located on the Tierra del Fuego Deck next to the Yamana Lounge</li><li>Views from large windows measuring 1.45m x 1.37m</li><li>Larger king beds measuring 1.8m x 1.98m</li></ul>↵","Two luxuriously spacious, AA Superior cabins measuring 20.5m²/220ft²Located on the Tierra del Fuego Deck next to the Yamana LoungeViews from large windows measuring 1.45m x 1.37mLarger king beds measuring 1.8m x 1.98m↵",https://imgix.swoop-patagonia.com/CRUC_2_CRUC_RTD_AA-SUPERIOR.jpg,20.5m2,Double,En‑suite WC + shower + sink,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Stella Australis,AA,<ul><li>36 spacious&nbsp;cabins measuring 16.5m&sup2;/178ft&sup2;&nbsp;</li><li>Located on the Tierra del Fuego Deck next to the Yamana Lounge</li><li>Views from large windows measuring 1.45m x 1.37m</li><li>Standard-size twin (1.05m x 1.90m) or double beds. (1.60m x 1.90m)</li></ul>↵,36 spacious cabins measuring 16.5m²/178ft² Located on the Tierra del Fuego Deck next to the Yamana LoungeViews from large windows measuring 1.45m x 1.37mStandard-size twin (1.05m x 1.90m) or double beds. (1.60m x 1.90m)↵,https://imgix.swoop-patagonia.com/CRUC_2_CRUC_RTD_AA-TWIN.jpg,16.5m2,"Double, Twin",En‑suite WC + shower + sink,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Stella Australis,A ,<ul><li>34 spacious&nbsp;cabins measuring 16.5m&sup2;/178ft&sup2;&nbsp;</li><li>Slightly smaller windows on this deck measuring 1.45m x 1.20m</li><li>Standard-size twin (1.05m x 1.90m) or double beds (1.60m x 1.90m)</li><li>Three B cabins are on the low deck with slightly less panoramic view than the A cabins and the prices reflect this</li><li>If you are planning a year in advance&nbsp;you might be lucky enough to secure one of these</li></ul>↵,34 spacious cabins measuring 16.5m²/178ft² Slightly smaller windows on this deck measuring 1.45m x 1.20mStandard-size twin (1.05m x 1.90m) or double beds (1.60m x 1.90m)Three B cabins are on the low deck with slightly less panoramic view than the A cabins and the prices reflect thisIf you are planning a year in advance you might be lucky enough to secure one of these↵,https://imgix.swoop-patagonia.com/CRUC_2_CRUC_RTD_A-TWIN.jpg,16.5m2,"Double, Twin",En‑suite WC + shower + sink,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Stella Australis,B,<ul><li>34 spacious&nbsp;cabins measuring 16.5m&sup2;/178ft&sup2;&nbsp;</li><li>Slightly smaller windows on this deck measuring 1.45m x 1.20m</li><li>Standard-size twin (1.05m x 1.90m) or double beds (1.60m x 1.90m)</li><li>Three B cabins are on the low deck with slightly less panoramic view than the A cabins and the prices reflect this</li><li>If you are planning a year in advance&nbsp;you might be lucky enough to secure one of these</li></ul>↵,34 spacious cabins measuring 16.5m²/178ft² Slightly smaller windows on this deck measuring 1.45m x 1.20mStandard-size twin (1.05m x 1.90m) or double beds (1.60m x 1.90m)Three B cabins are on the low deck with slightly less panoramic view than the A cabins and the prices reflect thisIf you are planning a year in advance you might be lucky enough to secure one of these↵,https://imgix.swoop-patagonia.com/CRUC_2_CRUC_RTD_A-TWIN.jpg,16.5m2,"Double, Twin",En‑suite WC + shower + sink,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Ventus Australis,AAA Superior,"<ul><li>Two wonderfully spacious and airy cabins, measuring 20.5m&sup2;/220ft&sup2;&nbsp;in size, with ample room for storage and relaxation</li><li>Well positioned&nbsp;for access to&nbsp;the Sky Lounge and Darwin Lounge on the Cabo de Hornos Deck&nbsp;</li><li>The best view on board, due to their height on the ship, and the huge&nbsp;floor-to-ceiling picture&nbsp;window</li><li>Large king sized beds&nbsp;measuring 1.8m x 1.98m</li></ul>↵","Two wonderfully spacious and airy cabins, measuring 20.5m²/220ft² in size, with ample room for storage and relaxationWell positioned for access to the Sky Lounge and Darwin Lounge on the Cabo de Hornos Deck The best view on board, due to their height on the ship, and the huge floor-to-ceiling picture windowLarge king sized beds measuring 1.8m x 1.98m↵",https://imgix.swoop-patagonia.com/AUS_5_AUS_RTD_Ventus-AAA-cabin.jpg,20.5m2,Double,En‑suite WC + shower + sink,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Ventus Australis,AAA,"<ul><li>23 spacious cabins&nbsp;measuring 16.5m&sup2;/178ft&sup2;</li><li>Located on the&nbsp;Cabo de Hornos Deck&nbsp;next to the Sky Lounge and Bridge</li><li>These cabins offer the&nbsp;best view on board, with&nbsp;windows&nbsp;measuring&nbsp;1.58m x 1.80m</li><li>Standard-size twin&nbsp;(1.05m x 1.90m) or&nbsp;double beds&nbsp;(1.60m x 1.90m).</li></ul>↵","23 spacious cabins measuring 16.5m²/178ft²Located on the Cabo de Hornos Deck next to the Sky Lounge and BridgeThese cabins offer the best view on board, with windows measuring 1.58m x 1.80mStandard-size twin (1.05m x 1.90m) or double beds (1.60m x 1.90m).↵",https://imgix.swoop-patagonia.com/CRUC_4_CRUC_RTD_Ventus-Australis-AAATwin.jpg,16.5m2,"Double, Twin",En‑suite WC + shower + sink,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Ventus Australis,AA Superior,"<ul><li>Two luxuriously spacious,&nbsp;AA Superior cabins measure 20.5m&sup2;/220ft&sup2;&nbsp;</li><li>Located on the&nbsp;Tierra del Fuego Deck&nbsp;next to the Yamana Lounge</li><li>Views from large&nbsp;windows&nbsp;measuring&nbsp;1.45m x 1.37m</li><li>Larger king sized beds&nbsp;measuring 1.8m x 1.98m</li></ul>↵","Two luxuriously spacious, AA Superior cabins measure 20.5m²/220ft² Located on the Tierra del Fuego Deck next to the Yamana LoungeViews from large windows measuring 1.45m x 1.37mLarger king sized beds measuring 1.8m x 1.98m↵",https://imgix.swoop-patagonia.com/CRUC_4_CRUC_RTD_Ventus-Australis-AASuperior.jpg,16.5m3,Double,En‑suite WC + shower + sink,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
Australis,Cabin ,Patagonia,Ventus Australis,AA,<ul><li>36 spacious&nbsp;cabins measuring 16.5m&sup2;/178ft&sup2;&nbsp;</li><li>Located on the&nbsp;Tierra del Fuego Deck&nbsp;next to the Yamana Lounge</li><li>Views from large&nbsp;windows&nbsp;measuring&nbsp;1.45m x 1.37m</li><li>Standard-size twin&nbsp;(1.05m x 1.90m) or&nbsp;double beds (1.60m x 1.90m)</li></ul>↵,36 spacious cabins measuring 16.5m²/178ft² Located on the Tierra del Fuego Deck next to the Yamana LoungeViews from large windows measuring 1.45m x 1.37mStandard-size twin (1.05m x 1.90m) or double beds (1.60m x 1.90m)↵,https://imgix.swoop-patagonia.com/CRUC_4_CRUC_RTD_Ventus-Australis-AATwin.jpg,16.5m4,"Double, Twin",En‑suite WC + shower + sink,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,
